grade	Gender	Age	contest	TotalScore	Awards	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23	ID24	ID25
12	M	17	2	144	WA	C	E	B	E	B	D	B	D	E	D	E	C	A	E	D	B	B	E	B	D	C	D	A	B	E
10	 	15	2	136.5	TCA	C	E	B	E	B	D	B	D	E	D	E	C	A	E	D	B	B	E	B	D	C	D	.	.	.
10	H	15	0	124.5	WA	C	E	D	B	E	B	D	B	E	B	A	D	D	D	C	D	D	C	A	A	E	C	.	.	.
11	M	16	2	124.5	TA	C	E	B	E	B	D	B	D	E	C	E	C	A	E	D	B	B	E	B	A	C	D	.	.	.
11	M	15	2	120	A	C	E	B	E	B	D	B	D	E	D	E	C	A	E	D	B	B	D	B	D	C	E	D	D	D
12	 	17	2	120	A	C	E	B	E	B	D	B	C	E	D	E	C	A	E	D	B	B	C	B	.	.	D	A	.	.
8	M	0	0	114	TCA	C	E	D	B	E	B	D	B	E	B	A	D	D	C	C	D	D	C	A	C	D	.	.	.	.
10	M	15	0	109.5	TA	C	E	D	B	E	B	D	B	E	B	A	D	D	D	.	.	.	C	.	B	.	.	.	.	.
11	M	16	2	108	A	C	E	B	E	B	D	B	D	.	D	.	C	A	E	D	A	B	E	.	.	.	D	.	.	.
10	F	15	0	108	A	C	E	D	B	E	B	D	B	E	B	.	D	D	C	C	D	.	C	A	.	.	.	.	.	.
11	F	15	2	106.5	A	C	E	B	E	B	D	B	D	E	D	E	B	A	E	D	.	B	E	C	.	.	.	.	.	.
9	M	14	0	106.5	A	C	E	D	B	E	B	D	B	E	B	E	B	D	D	C	.	.	C	.	B	E	.	.	.	.
9	 	14	0	103.5	A	C	E	D	B	E	B	D	B	E	B	A	D	D	C	C	.	.	C	.	.	.	.	.	.	.
11	F	16	2	102	A	C	E	B	E	B	D	B	D	E	D	E	C	A	E	E	.	C	.	B	.	.	.	.	.	.
9	F	14	0	99	A	C	E	D	B	E	B	D	B	E	B	A	D	D	C	C	C	D	B	.	D	.	.	.	.	.
9	 	13	0	97.5	A	C	E	D	B	E	B	D	B	E	B	A	D	D	E	.	D	.	B	.	.	.	.	.	.	.
10	M	15	0	97.5	A	C	E	D	B	E	B	D	B	E	B	.	D	D	C	.	B	.	.	A	B	.	.	.	.	.
11	M	17	2	97.5	A	C	C	B	E	B	D	B	D	E	C	A	C	D	E	D	B	B	A	B	.	.	D	.	.	.
9	 	14	0	97.5	A	C	E	D	B	E	B	D	B	E	B	A	D	D	B	.	C	.	C	.	.	.	.	.	.	.
8	M	13	0	97.5	CA	C	E	D	B	E	B	D	B	E	B	D	B	D	.	.	D	.	C	.	B	.	.	.	.	.
10	M	15	0	96	A	C	E	D	B	D	B	D	B	E	C	A	D	.	D	.	.	D	C	A	A	.	.	.	.	.
10	 	15	0	96	A	C	E	D	B	E	B	D	B	E	B	E	C	D	D	.	D	.	E	.	B	.	.	.	.	.
10	 	15	0	96	A	C	E	D	B	E	B	D	B	E	B	B	D	D	C	C	A	D	.	.	.	.	.	.	.	.
10	 	14	0	96	A	C	E	D	B	E	B	D	B	E	B	A	B	D	C	C	B	.	C	.	.	.	.	.	.	.
10	M	15	0	96	A	C	E	D	B	E	B	A	B	E	B	E	D	D	C	C	D	.	.	.	B	.	.	.	.	.
12	M	17	2	94.5	A	C	E	B	E	B	D	B	D	.	D	E	C	.	D	.	B	A	B	B	B	C	.	.	.	.
8	F	13	0	94.5	C	C	E	D	B	E	B	.	B	E	B	.	D	D	D	C	.	.	.	.	A	.	.	.	.	.
9	M	14	0	94.5		C	E	.	B	E	B	D	B	E	B	B	D	D	D	.	D	.	.	.	.	.	.	.	.	.
